page,carrier,product_grouping,product_name,states,pay_years,adv_mo,senior_1,associate_1,senior_2,associate_2,senior_3,associate_3,highlighted
1,Aetna,Final Expense,ACC Level Benefit and Riders,USA,"Yr 1, 2-10",9,98%,95%,3.0%,2.5%,,,
1,Aetna,Final Expense,ACC Modified Benefit,USA,"Yr 1, 2-10",9,90%,88%,3.0%,2.5%,,,
1,Aetna,Final Expense,CLI Protection Series,USA,"Yr 1, 2-10,++",9,60%,58%,4.0%,4.0%,1.0%,1.0%,
1,Aetna,Critical Illness,Cancer and Heart Attack or Stroke,"AL, AR, CA, GA…","Yr 1, 2-10, 11+",9,64%,62%,3.0%,2.5%,1.0%,1.0%,
1,Aetna,Critical Illness,Cancer and Heart Attack or Stroke,"AZ, DE, FL, IN…","Yr 1, 2-10",9,58%,56%,1.0%,1.0%,,,
1,Aetna,Critical Illness,Cancer and Heart Attack or Stroke,"CO, CT, MA, M…",Yr 1,9,56%,54%,,,,,
1,Aetna,Critical Illness,Cancer and Heart Attack or Stroke age 85-89,"AL, AR, CA, GA…","Yr 1, 2-10",9,51%,49%,1.0%,1.0%,,,
1,Aetna,Critical Illness,Cancer and Heart Attack or Stroke age 85-89,"AZ, DE, FL, IN…",Yr 1,9,49%,47%,,,,,
1,Aetna,Critical Illness,Cancer and Heart Attack or Stroke age 85-89,"CO, CT, MA, M…",Yr 1,9,29.5%,28%,,,,,
1,Aetna,Dental,DVH Flex,USA,"Yr 1, 2+",9,22%,21%,1.0%,1.0%,,,
1,Aetna,Dental,"Dental, Vision, Hearing",USA,"Yr 1, 2+",9,28%,26%,1.0%,1.0%,,,
1,Aetna,Dental,"Dental, Vision, Hearing","NM, CO, SD","Yr 1, 2+",9,18.5%,18%,1.0%,1.0%,,,
1,Aetna,Dental,DVH NV,NV,"Yr 1, 2+",9,10.0%,9.5%,1.0%,1.0%,,,yes
1,Aetna,Dental,"Dental, Vision, Hearing age 71-89",USA,"Yr 1, 2+",9,26%,24%,1.0%,1.0%,,,
1,Aetna,Dental,"Dental, Vision, Hearing age 71-89","NM, CO, SD","Yr 1, 2+",9,15.5%,15%,1.0%,1.0%,,,
